ID,CAD,Estação,coordenação,Nome,Municipios,Altitude,Início,Fim,Anos,X_coord,Y_coord,TEMP_MÉD_ANUAL,CHUVA,ETP,ETR,DEF,EXC,ER/ETP
94,300,Inc_014,INMET,VITÓRIA,VITÓRIA,36,1977,2006,30,"-40,32","-20,30","25,0","1346,9","1408,7","1344,5","64,2","2,4","1,0"
95,300,MG_1740000,Extra_ANA,Minas Gerais 01,MINAS GERAIS,146,1977,2006,30,"-40,76","-17,70","24,4","1019,3","1320,2","1019,3","300,9","0,0","0,8"
96,300,MG_1740001,Extra_ANA,Minas Gerais 02,MINAS GERAIS,92,1977,2006,30,"-40,38","-17,84","24,6","968,6","1345,2","968,6","376,6","0,0","0,7"
97,300,MG_01841006,Extra_ANA,Minas Gerais 03,MINAS GERAIS,360,1977,2006,30,"-41,20","-18,68","22,9","970,8","1139,3","970,8","168,5","0,0","0,9"
98,300,MG_01841007,Extra_ANA,Minas Gerais 04,MINAS GERAIS,210,1977,2006,30,"-41,25","-18,20","23,9","1037,6","1256,6","1037,6","219,0","0,0","0,8"
99,300,MG_01841008,Extra_ANA,Minas Gerais 05,MINAS GERAIS,250,1977,2006,30,"-41,11","-18,05","24,0","1158,2","1261,6","1160,2","101,3","0,0","0,9"
100,300,MG_01841018,Extra_ANA,Minas Gerais 06,MINAS GERAIS,260,1977,2006,30,"-41,31","-18,76","23,7","974,5","1229,2","974,5","254,7","0,0","0,8"
101,300,MG_01941004,Extra_ANA,Minas Gerais 07,MINAS GERAIS,130,1977,2006,30,"-41,25","-19,34","23,8","1055,5","1252,8","1055,5","197,2","0,0","0,8"
102,300,MG_01941010,Extra_ANA,Minas Gerais 08,MINAS GERAIS,115,1977,2006,30,"-41,16","-19,49","23,8","1001,5","1253,6","1001,5","252,1","0,0","0,8"
103,300,MG_01941019,Extra_ANA,Minas Gerais 09,MINAS GERAIS,250,1977,2006,30,"-41,44","-19,81","22,4","1121,0","1097,6","1007,5","90,0","113,5","0,9"
104,300,MG_02041005,Extra_ANA,Minas Gerais 10,MINAS GERAIS,747,1977,2006,30,"-41,92","-20,69","19,9","1311,6","915,9","902,6","13,3","409,0","1,0"
105,300,MG_02041008,Extra_ANA,Minas Gerais 11,MINAS GERAIS,458,1977,2006,30,"-41,73","-20,11","21,7","1255,2","1043,2","987,2","56,0","268,0","0,9"
106,300,MG_02041048,Extra_ANA,Minas Gerais 12,MINAS GERAIS,540,1977,2006,30,"-41,96","-20,18","22,3","1254,9","1091,4","1010,2","81,3","244,7","0,9"
107,300,RJ_02041046,Extra_ANA,Rio de Janeiro 01,RIO DE JANEIRO,650,1977,2006,30,"-41,85","-20,93","19,8","1461,0","942,4","939,8","2,6","521,2","1,0"
108,300,RJ_02141001,Extra_ANA,Rio de Janeiro 02,RIO DE JANEIRO,15,1977,2006,30,"-41,10","-21,48","23,5","847,5","1279,8","848,9","430,9","0,0","0,7"
109,300,RJ_02141003,Extra_ANA,Rio de Janeiro 03,RIO DE JANEIRO,20,1977,2006,30,"-41,61","-21,49","23,5","936,7","1275,5","936,7","338,9","0,0","0,7"
110,300,BA_01739006,Extra_ANA,Bahia 01,BAHIA,59,1977,2006,30,"-39,66","-17,81","26,2","1415,2","1577,3","1415,2","162,1","0,0","0,9"
